1876	6043	6613	4539	7965	4758	9665	6547	6653	6412
9221	8513	7897	2736	6297	6810	3948	4868	898	9829
4165	7649	7861	9412	8719	8806	2170	6428	8193	1846
4788	6531	3631	9465	5383	266	4366	5961	682	8389
9028	6515	6430	1318	1663	3468	9283	1455	2043	5303
6668	3856	1646	3273	1795	8888	8085	7791	7830	6464
1560	7815	2578	6027	9826	7853	3019	5678	5857	9695
1978	8837	7149	3079	3770	6396	5651	514	8654	9346
7843	698	3265	6585	6825	448	2277	7371	5931	9468
9325	3543	2782	7944	8172	2284	5246	2454	6731	4884
8335	1549	8668	3209	9131	5914	4607	784	9001	8691
8123	2114	6291	5427	871	5102	7774	9381	3360	4838
9293	6638	1093	2816	4694	9923	5812	6966	9924	5845
9098	7166	6911	3036	6134	8464	7871	4446	9383	512
4333	5240	3691	5126	5783	4886	2190	5740	2288	2258
5404	2141	6634	9865	6327	5632	2308	8105	2433	9786
9699	5861	1962	8998	3968	1392	4323	4556	20	4970
3503	9177	3773	1103	56	2279	5634	5749	5762	9765
